id,gender,masterCategory,subCategory,year,usage,productDisplayName,filename,articleType,baseColour,season
25170,Women,Accessories,Bags,2015.0,Casual,Lino Perros Women Leatherette Dark Brown Handbag,25170.jpg,Handbags,Black,Summer
3357,Men,Apparel,Topwear,2011.0,Casual,Myntra Men's Ear Plugs Black T-shirt,3357.jpg,Tshirts,Black,Summer
6304,Unisex,Footwear,Flip Flops,2011.0,Casual,Puma Unisex Issac Red Black Flip Flop,6304.jpg,Flip Flops,Red,Summer
4575,Men,Footwear,Shoes,2011.0,Sports,Nike Men's Air Max Court Blue Shoe,4575.jpg,Sports Shoes,White,Summer
1807,Men,Apparel,Topwear,2010.0,Casual,Quechua Men G1 Techfresh Red T-shirt,1807.jpg,Tshirts,Red,Fall
39449,Women,Apparel,Topwear,2012.0,Ethnic,Diva Women Orange Kurta,39449.jpg,Kurtas,Pink,Summer
31274,Men,Apparel,Topwear,2012.0,Casual,Puma Men Calogne Graphic Navy Blue T-shirt,31274.jpg,Tshirts,Navy Blue,Summer
10161,Men,Footwear,Shoes,2011.0,Sports,Puma Men Cabana Racer White Sports Shoes,10161.jpg,Casual Shoes,White,Fall
57084,Women,Apparel,Bottomwear,2012.0,Casual,Elle Women Blue Skirt,57084.jpg,Shorts,Blue,Summer
35123,Women,Accessories,Jewellery,2012.0,Casual,Allen Solly Woman Blue Pendant,35123.jpg,Perfume and Body Mist,Blue,Spring
24408,Men,Footwear,Shoes,2012.0,Sports,ADIDAS Men Black Vanquish Sports Shoes,24408.jpg,Casual Shoes,Black,Summer
3251,Men,Footwear,Shoes,2010.0,Sports,Puma Men's Suede Archive Red White Shoe,3251.jpg,Sports Shoes,Red,Summer
28898,Women,Apparel,Innerwear,2014.0,Casual,Enamor Women Red Brief,28898.jpg,Briefs,Black,Summer
22268,Women,Footwear,Shoes,2012.0,Casual,Inc. 5 Women Casual Black Wedges,22268.jpg,Heels,Black,Fall
51884,Women,Accessories,Wallets,2016.0,Casual,Nyk Women Blue Wallet,51884.jpg,Wallets,Black,Summer
30134,Men,Apparel,Topwear,2012.0,Casual,Flying Machine Men Printed Orange T-shirt,30134.jpg,Tshirts,Black,Summer
58446,Women,Accessories,Watches,2016.0,Casual,Fossil Women White Dial Chronograph Watch,58446.jpg,Kurtis,Maroon,Fall
26676,Women,Footwear,Flip Flops,2012.0,Casual,Puma Women Stawberry Pink Flip Flops,26676.jpg,Flip Flops,Red,Summer
17684,Women,Footwear,Shoes,2015.0,Casual,Catwalk Women Ballerina Grey Casual Shoe,17684.jpg,Casual Shoes,Black,Winter
37946,Women,Apparel,Topwear,2012.0,Casual,Mineral Women Mustard Tunic,37946.jpg,Shirts,Blue,Summer
10149,Men,Footwear,Shoes,2011.0,Formal,Rockport Men Ed Plaintoe Brown Formal Shoes,10149.jpg,Formal Shoes,Black,Fall
37450,Men,Accessories,Belts,2012.0,Casual,Turtle Men Black Belt,37450.jpg,Belts,Black,Summer
6298,Women,Footwear,Shoes,2015.0,Casual,Catwalk Summer Blue Flats,6298.jpg,Heels,Brown,Summer
