article_id,product_name,customer_segment,promotion_strategy,campaign_score,purchase_probability,generated_copy,grounded_on,status,generated_at
610776020,Tilly (1),Engaged Budget Shoppers,Promote aggressively,0.9955427561319452,0.983845077777778,"Meet your new wardrobe staple: the Tilly black t-shirt in soft, lightweight jersey that moves with you all day. With its rounded hem and longer back length, this essential piece layers perfectly or wears solo for effortless style that never goes out of season.",Tilly; Tilly (1); Tilly (1); Tilly (1); Tilly (1),approved,2026-07-09T18:53:20Z
853589004,Anki puff tee,Engaged Budget Shoppers,Deprioritize,0.9394468778697928,0.89742506,"Meet the Anki puff tee, a light orange essential crafted from soft cotton jersey with charming short puff sleeves. Perfect for effortless everyday style, this simple tee delivers comfort and a playful silhouette that works with everything in your wardrobe.",Anki puff tee; Anki puff tee; Anki puff tee; Betty puff; Brit Baby Tee,approved,2026-07-09T18:53:22Z
865076001,Hazel,Engaged Budget Shoppers,Personalized recommendation,0.8981970086959129,0.983876461818182,"The Hazel is your new everyday essential—a soft cotton jersey tee with a relaxed, slightly wider neckline that's comfortable and flattering. The rounded hem adds a subtle polish to this versatile black staple. Perfect for layering or wearing on its own, it's the foundation piece every wardrobe needs.",Hazel; Hazel; Cora; Cora; Hazel,approved,2026-07-09T18:53:24Z
864151004,Crabfish triange top,Engaged Budget Shoppers,Discount campaign,0.8749481463053054,0.7980598,"Get the perfect fit this season with the Crabfish Triangle Top, a lined bikini top designed to give you natural shape and light support with a flattering silhouette. The adjustable neck and back ties ensure a custom fit, while the soft beige tone works with any swim look. Shop this essential bikini style at a great price.",Crabfish triange top; Crabfish triange top; Tropicana Triangle; Tropicana Triangle; Tropicana Triangle,approved,2026-07-09T18:53:26Z
549607001,Annie fur,High-Value One-Time Buyers,Promote aggressively,0.9653942605429214,0.987399,"Wrap yourself in luxury with the Annie fur jacket, crafted from sumptuous soft faux fur that feels as indulgent as it looks. This statement piece features a sophisticated collar, discreet hook-and-eye fasteners, and practical side pockets, all lined for comfort and durability. Make this your signature outerwear moment.",Annie fur; Annie fur; Annie fur; Ygritte Autumn Fur; Hilton,approved,2026-07-09T18:53:28Z
704406001,Majken fancy loafer,High-Value One-Time Buyers,Deprioritize,0.9085722340590392,0.899860295,"Step into understated elegance with the Majken fancy loafer in a rich yellowish brown. These pointed-toe loafers feature imitation leather uppers, soft fabric linings, and a comfortable 3.5 cm heel—the perfect everyday shoe that transitions seamlessly from work to weekend.",Majken fancy loafer; Conan loafer; OL STAFFAN PQ loafer (gör CO); Jay wingtip brogue; Queen,approved,2026-07-09T18:53:30Z
784279001,Shallow coat,High-Value One-Time Buyers,Personalized recommendation,0.8697512946117153,0.99005365,"Make a timeless statement with our Shallow coat, a classic black double-breasted design crafted from durable wool-blend fabric. This polished piece features elegant notch lapels, dropped shoulders, and practical patch pockets—perfect for elevating any outfit with understated sophistication. Built to last and lined for comfort, it's the investment outerwear piece every wardrobe deserves.",Shallow coat; Capone coat; Blunder coat; Lost Boy Coat; Strindberg coat,approved,2026-07-09T18:53:32Z
703028001,Cuba dress,High-Value One-Time Buyers,Discount campaign,0.8436173519634108,0.7997923,"Make an entrance in the Cuba dress, a striking dark red design featuring a flattering V-neck, long sleeves with elasticated cuffs, and a gently flared skirt with playful hemline detail. The patterned weave and back opening create sophisticated movement, while the cinched waist seam defines your silhouette beautifully. Now's the moment to add this standout piece to your wardrobe.",Cuba dress; Snow Dress; Noora dress; sheffield dress; Liverpool Dress,approved,2026-07-09T18:53:34Z
762656002,Small basic scrunchie,Inactive Budget Shoppers,Promote aggressively,1.0,0.990711805,"Hold your style in place with our silky Small Basic Scrunchie in Light Pink—the gentle elastic that keeps your hair secure without the damage. This affordable essential works with any look, from everyday ponytails to polished updos. Grab yours today at an unbeatable price.",Small basic scrunchie; Small basic scrunchie; Small basic scrunchie; Big scrunchie; Small basic scrunchie,approved,2026-07-09T18:53:42Z
874837005,ANDY L/S TEE TP,Inactive Budget Shoppers,Deprioritize,0.9409805500306332,0.8997878,"Keep your little one comfy and stylish in the ANDY L/S TEE TP, a straight-cut long-sleeved top in soft jersey with a fun print motif. The ribbed neckline trim keeps its shape through wash after wash, making this black tee a dependable everyday favorite.",ANDY L/S TEE TP; ANDY L/S TEE TP; ANDY L/S TEE TP; ANDY L/S TEE TP; ANDY L/S TEE TP,approved,2026-07-09T18:53:44Z
762656001,Small basic scrunchie,Inactive Budget Shoppers,Personalized recommendation,0.9014669557205331,0.988914066875,"Keep your hair effortlessly secured with our Black Small Basic Scrunchie, a smooth satin elasticated style that works for any look. This versatile accessory is an everyday essential that won't break the bank. Add it to your collection today for hair that stays in place all day long.",Small basic scrunchie; Small basic scrunchie; Small basic scrunchie; Small basic scrunchie; Small basic scrunchie,approved,2026-07-09T18:53:49Z
872052001,Flirty Record hoop,Inactive Budget Shoppers,Discount campaign,0.8750344386510829,0.79819274,"Make a statement with the Flirty Record hoop—light pink metal hoops adorned with sparkling faceted beads that catch the light from every angle. At just 3 cm in diameter, they're the perfect size for everyday wear or special occasions. Grab yours today and add a touch of playful sparkle to your accessory collection.",Flirty Record hoop; Flirty Oliver hoop; Flirty Karim Hoop; Flirty Friday hoop; Class Carol hoop pk RT,approved,2026-07-09T18:53:51Z
780031001,PS FI LEATHER LEGGINGS,Loyal High-Value Customers,Promote aggressively,0.9936197053213324,0.98088247,"Elevate your everyday essentials with our PS FI Leather Leggings—crafted in buttery soft, supple leather with a thin cotton lining for all-day comfort. The high waist with concealed elastication, side zip, and signature decorative seams deliver understated sophistication that works as hard as you do. A closet investment that transitions seamlessly from desk to dinner.",PS FI LEATHER LEGGINGS; PQ FI LEATHER LEGGINGS; PQ FI LEGGINGS LEATHER; PQ FI LEGGINGS LEATHER; Petite Pantha PU leggings,approved,2026-07-09T18:53:53Z
849361004,Raven blazer,Loyal High-Value Customers,Deprioritize,0.9411101118797168,0.8999874,"The Raven blazer in light yellow brings effortless sophistication to your wardrobe with its gently fitted silhouette and polished details. Single-breasted styling, peak lapels, and decorative cuff buttons create a refined look perfect for both professional and elevated casual occasions. Fully lined for comfort and durability, this woven jacket features practical welt pockets and a single back vent for easy movement.",Raven blazer; Raven blazer; Raven blazer; Raven blazer; Mastiff blazer,approved,2026-07-09T18:53:55Z
763323004,Strindberg coat,Loyal High-Value Customers,Personalized recommendation,0.8882394913597357,0.96853614,"The Strindberg coat brings understated elegance to your everyday wardrobe with its Italian wool blend and timeless double-breasted silhouette. Classic notch lapels and dropped shoulders create a refined, effortless look that pairs perfectly with any outfit, while practical side pockets and a lined interior ensure comfort through every season. A wardrobe essential for those who appreciate quality tailoring and enduring style.",Strindberg coat; Strindberg coat; Strindberg coat; Adriano coat; Gustav jacket,approved,2026-07-09T18:53:57Z
856551005,Rose skirt,Loyal High-Value Customers,Discount campaign,0.8761660406688403,0.79993606,"Make a statement in our Rose skirt, a classic dark red pleated style crafted in crisp woven fabric with a flattering high waist. This short skirt features a discreet side zip and pairs effortlessly with your favorite tops for a polished, versatile look. Now's the perfect time to add this timeless piece to your collection with our special discount.",Rose skirt; Mim; Rose skirt; Rose skirt; Enna mini skirt,approved,2026-07-09T18:53:59Z
560783011,Polly pencil case,Regular Shoppers,Promote aggressively,0.905654064368356,0.97036463,"Keep your essentials organized and stylish with the Polly pencil case in light pink. This compact zip-top case features a lined interior and divided compartments, perfect for pens, pencils, and more. At just 5x6x20 cm, it's the perfect size to slip into any bag.",POLLY pencil case; Polly pencil case; POLLY pencil case; Polly pencil case; Polly pencil case,approved,2026-07-09T18:54:01Z
