customer_segment,article_id,product_name,product_type,product_group,color_group,style,occasion,target_audience,inventory_level,promotion_strategy,recommended_strategy,product_copy_angle,segment_copy_angle,avg_selling_price,avg_purchase_probability,avg_inventory_score,avg_segment_match_score,avg_campaign_score,customer_count,raw_campaign_score,campaign_score,purchase_probability,ranking_explanation,campaign_message,price_tier
Inactive Budget Shoppers,762656002,Small basic scrunchie,Hair ties,Accessories,Light Pink,everyday,daily_wear,Ladieswear,high,Promote aggressively,"Win-back discounts, simple value offers, clearance promotions",everyday and daily_wear focused,"affordable, practical, low-commitment",0.0032796610169491,0.990711805,1.0,1.0,0.9953559025,16,0.9953559025,1.0,0.990711805,"Recommended for Inactive Budget Shoppers because it has an average purchase probability of 0.99, an inventory score of 1.00, a segment match score of 1.00, and a raw campaign score of 1.00.","Refresh your wardrobe with Small basic scrunchie, a everyday Hair ties made for daily_wear. Great style, smart value.",Budget
Inactive Budget Shoppers,807241019,1p Fun Socks,Socks,Socks & Tights,Black,everyday,daily_wear,Ladieswear,high,Promote aggressively,"Win-back discounts, simple value offers, clearance promotions",everyday and daily_wear focused,"affordable, practical, low-commitment",0.0033414043583534,0.98897305,1.0,1.0,0.994486525,2,0.994486525,0.9988713611577988,0.98897305,"Recommended for Inactive Budget Shoppers because it has an average purchase probability of 0.99, an inventory score of 1.00, a segment match score of 1.00, and a raw campaign score of 0.99.","Refresh your wardrobe with 1p Fun Socks, a everyday Socks made for daily_wear. Great style, smart value.",Budget
Inactive Budget Shoppers,701134015,1pk XMAS,Socks,Socks & Tights,Black,everyday,daily_wear,Menswear,high,Promote aggressively,"Win-back discounts, simple value offers, clearance promotions",everyday and daily_wear focused,"affordable, practical, low-commitment",0.0033615819209038,0.988808515,1.0,1.0,0.9944042575,2,0.9944042575,0.998764560261812,0.988808515,"Recommended for Inactive Budget Shoppers because it has an average purchase probability of 0.99, an inventory score of 1.00, a segment match score of 1.00, and a raw campaign score of 0.99.","Refresh your wardrobe with 1pk XMAS, a everyday Socks made for daily_wear. Great style, smart value.",Budget
Inactive Budget Shoppers,706268041,1pk fun/expressive,Socks,Socks & Tights,Dark Green,everyday,daily_wear,Menswear,high,Promote aggressively,"Win-back discounts, simple value offers, clearance promotions",everyday and daily_wear focused,"affordable, practical, low-commitment",0.0033075060532687,0.9867478633333334,1.0,1.0,0.9933739316666668,3,0.9933739316666668,0.9974269758918196,0.9867478633333334,"Recommended for Inactive Budget Shoppers because it has an average purchase probability of 0.99, an inventory score of 1.00, a segment match score of 1.00, and a raw campaign score of 0.99.","Refresh your wardrobe with 1pk fun/expressive, a everyday Socks made for daily_wear. Great style, smart value.",Budget
Inactive Budget Shoppers,783707026,1pk Fun 1,Socks,Socks & Tights,Light Green,everyday,daily_wear,Menswear,high,Promote aggressively,"Win-back discounts, simple value offers, clearance promotions",everyday and daily_wear focused,"affordable, practical, low-commitment",0.003306967984934,0.9865496666666664,1.0,1.0,0.9932748333333332,3,0.9932748333333332,0.997298324956872,0.9865496666666664,"Recommended for Inactive Budget Shoppers because it has an average purchase probability of 0.99, an inventory score of 1.00, a segment match score of 1.00, and a raw campaign score of 0.99.","Refresh your wardrobe with 1pk Fun 1, a everyday Socks made for daily_wear. Great style, smart value.",Budget
Inactive Budget Shoppers,874837005,ANDY L/S TEE TP,T-shirt,Garment Upper body,Black,elegant,work_or_outing,Baby/Children,high,Deprioritize,"Win-back discounts, simple value offers, clearance promotions",elegant and work_or_outing focused,"affordable, practical, low-commitment",0.0067627118644067,0.8997878,1.0,1.0,0.9498939,1,0.9498939,0.9409805500306332,0.8997878,"Recommended for Inactive Budget Shoppers because it has an average purchase probability of 0.90, an inventory score of 1.00, a segment match score of 1.00, and a raw campaign score of 0.95.","Refresh your wardrobe with ANDY L/S TEE TP, a elegant T-shirt made for work_or_outing. Great style, smart value.",Budget
Inactive Budget Shoppers,673214003,Maxi,Leggings/Tights,Garment Lower body,White,everyday,daily_wear,Baby/Children,high,Deprioritize,"Win-back discounts, simple value offers, clearance promotions",everyday and daily_wear focused,"affordable, practical, low-commitment",0.0039406779661016,0.89977,1.0,1.0,0.949885,1,0.949885,0.9409689959178392,0.89977,"Recommended for Inactive Budget Shoppers because it has an average purchase probability of 0.90, an inventory score of 1.00, a segment match score of 1.00, and a raw campaign score of 0.95.","Refresh your wardrobe with Maxi, a everyday Leggings/Tights made for daily_wear. Great style, smart value.",Budget
Inactive Budget Shoppers,879482001,Flirty Frosty Phone case,Other accessories,Accessories,Light Pink,everyday,daily_wear,Ladieswear,high,Deprioritize,"Win-back discounts, simple value offers, clearance promotions",everyday and daily_wear focused,"affordable, practical, low-commitment",0.0101525423728813,0.8996038,1.0,1.0,0.9498019,1,0.9498019,0.940861114257931,0.8996038,"Recommended for Inactive Budget Shoppers because it has an average purchase probability of 0.90, an inventory score of 1.00, a segment match score of 1.00, and a raw campaign score of 0.95.","Refresh your wardrobe with Flirty Frosty Phone case, a everyday Other accessories made for daily_wear. Great style, smart value.",Mid-range
Inactive Budget Shoppers,762656001,Small basic scrunchie,Hair ties,Accessories,Black,everyday,daily_wear,Ladieswear,medium,Personalized recommendation,"Win-back discounts, simple value offers, clearance promotions",everyday and daily_wear focused,"affordable, practical, low-commitment",0.0031846873173582,0.988914066875,0.7,1.0,0.9194570334375,16,0.9194570334375,0.9014669557205331,0.988914066875,"Recommended for Inactive Budget Shoppers because it has an average purchase probability of 0.99, an inventory score of 0.70, a segment match score of 1.00, and a raw campaign score of 0.92.","Refresh your wardrobe with Small basic scrunchie, a everyday Hair ties made for daily_wear. Great style, smart value.",Budget
Inactive Budget Shoppers,720137006,Cornelia Thong LP,Underwear bottom,Underwear,Yellow,everyday,daily_wear,Ladieswear,medium,Personalized recommendation,"Win-back discounts, simple value offers, clearance promotions",everyday and daily_wear focused,"affordable, practical, low-commitment",0.0032956685499058,0.98757255,0.7,1.0,0.918786275,2,0.918786275,0.9005961671088005,0.98757255,"Recommended for Inactive Budget Shoppers because it has an average purchase probability of 0.99, an inventory score of 0.70, a segment match score of 1.00, and a raw campaign score of 0.92.","Refresh your wardrobe with Cornelia Thong LP, a everyday Underwear bottom made for daily_wear. Great style, smart value.",Budget
