id,gender,masterCategory,subCategory,year,usage,productDisplayName,filename,articleType,baseColour,season,price,click_count,user_type,purchase_prob,purchase_pred,inventory
25170,Women,Accessories,Bags,2015.0,Casual,Lino Perros Women Leatherette Dark Brown Handbag,25170.jpg,Handbags,Black,Summer,47.0,3,fashionista,0.06042171,0,51
3357,Men,Apparel,Topwear,2011.0,Casual,Myntra Men's Ear Plugs Black T-shirt,3357.jpg,Tshirts,Black,Summer,54.0,4,color_lover,0.19885038,0,92
6304,Unisex,Footwear,Flip Flops,2011.0,Casual,Puma Unisex Issac Red Black Flip Flop,6304.jpg,Flip Flops,Red,Summer,40.0,1,color_lover,0.38588154,0,14
4575,Men,Footwear,Shoes,2011.0,Sports,Nike Men's Air Max Court Blue Shoe,4575.jpg,Sports Shoes,White,Summer,39.0,4,color_lover,0.1144452,0,71
1807,Men,Apparel,Topwear,2010.0,Casual,Quechua Men G1 Techfresh Red T-shirt,1807.jpg,Tshirts,Red,Fall,71.0,5,color_lover,0.009084767,0,60
39449,Women,Apparel,Topwear,2012.0,Ethnic,Diva Women Orange Kurta,39449.jpg,Kurtas,Pink,Summer,25.0,4,color_lover,0.03524357,0,20
31274,Men,Apparel,Topwear,2012.0,Casual,Puma Men Calogne Graphic Navy Blue T-shirt,31274.jpg,Tshirts,Navy Blue,Summer,62.0,4,fashionista,0.036047786,0,82
10161,Men,Footwear,Shoes,2011.0,Sports,Puma Men Cabana Racer White Sports Shoes,10161.jpg,Casual Shoes,White,Fall,51.0,2,budget,0.31150138,0,86
57084,Women,Apparel,Bottomwear,2012.0,Casual,Elle Women Blue Skirt,57084.jpg,Shorts,Blue,Summer,64.0,3,fashionista,0.16907722,0,74
35123,Women,Accessories,Jewellery,2012.0,Casual,Allen Solly Woman Blue Pendant,35123.jpg,Perfume and Body Mist,Blue,Spring,38.0,3,budget,0.52817935,1,74
24408,Men,Footwear,Shoes,2012.0,Sports,ADIDAS Men Black Vanquish Sports Shoes,24408.jpg,Casual Shoes,Black,Summer,24.0,0,fashionista,0.09619937,0,87
3251,Men,Footwear,Shoes,2010.0,Sports,Puma Men's Suede Archive Red White Shoe,3251.jpg,Sports Shoes,Red,Summer,61.0,4,budget,0.03303307,0,99
28898,Women,Apparel,Innerwear,2014.0,Casual,Enamor Women Red Brief,28898.jpg,Briefs,Black,Summer,71.0,4,fashionista,0.026634606,0,23
22268,Women,Footwear,Shoes,2012.0,Casual,Inc. 5 Women Casual Black Wedges,22268.jpg,Heels,Black,Fall,23.0,1,color_lover,0.06056534,0,2
51884,Women,Accessories,Wallets,2016.0,Casual,Nyk Women Blue Wallet,51884.jpg,Wallets,Black,Summer,41.0,6,budget,0.08961669,0,21
30134,Men,Apparel,Topwear,2012.0,Casual,Flying Machine Men Printed Orange T-shirt,30134.jpg,Tshirts,Black,Summer,46.0,2,color_lover,0.35383922,0,52
